date,open,high,low,close,volume,average,barCount
2005-03-09,1.3339,1.3456,1.3334,1.3433,-1.0,-1.0,-1
2005-03-10,1.34335,1.3454,1.3398,1.3425,-1.0,-1.0,-1
2005-03-11,1.3426,1.34785,1.3392,1.3458,-1.0,-1.0,-1
2005-03-13,1.3475,1.3477,1.3444,1.3453,-1.0,-1.0,-1
2005-03-14,1.3454,1.3456,1.3336,1.3363,-1.0,-1.0,-1
2005-03-15,1.3362,1.3411,1.3292,1.3303,-1.0,-1.0,-1
2005-03-16,1.3302,1.3439,1.3301,1.3407,-1.0,-1.0,-1
2005-03-17,1.3406,1.3419,1.3343,1.3373,-1.0,-1.0,-1
2005-03-18,1.3372,1.3373,1.3265,1.33245,-1.0,-1.0,-1
2005-03-20,1.3308,1.33175,1.325,1.3258,-1.0,-1.0,-1
2005-03-21,1.3259,1.3275,1.314,1.3167,-1.0,-1.0,-1
2005-03-22,1.3168,1.3226,1.3054,1.3077,-1.0,-1.0,-1
2005-03-23,1.3078,1.3087,1.2961,1.2987,-1.0,-1.0,-1
2005-03-24,1.2988,1.30335,1.2929,1.2946,-1.0,-1.0,-1
2005-03-25,1.2947,1.2969,1.2941,1.29575,-1.0,-1.0,-1
2005-03-27,1.2957,1.2957,1.2888,1.2908,-1.0,-1.0,-1
2005-03-28,1.2909,1.2955,1.2857,1.2937,-1.0,-1.0,-1
2005-03-29,1.2936,1.2967,1.2897,1.2949,-1.0,-1.0,-1
2005-03-30,1.295,1.2985,1.29115,1.2923,-1.0,-1.0,-1
2005-03-31,1.2922,1.3019,1.2914,1.2956,-1.0,-1.0,-1
2005-04-01,1.2956,1.30555,1.2871,1.29135,-1.0,-1.0,-1
2005-04-03,1.2884,1.2905,1.2881,1.2902,-1.0,-1.0,-1
2005-04-04,1.2903,1.2903,1.2816,1.2819,-1.0,-1.0,-1
2005-04-05,1.282,1.2886,1.2801,1.2872,-1.0,-1.0,-1
2005-04-06,1.2871,1.291,1.2842,1.2888,-1.0,-1.0,-1
2005-04-07,1.2887,1.2939,1.2812,1.2821,-1.0,-1.0,-1
2005-04-08,1.2822,1.2957,1.2809,1.2957,-1.0,-1.0,-1
2005-04-10,1.2928,1.2945,1.2908,1.2932,-1.0,-1.0,-1
2005-04-11,1.2931,1.3004,1.292,1.2981,-1.0,-1.0,-1
2005-04-12,1.298,1.3016,1.2863,1.2912,-1.0,-1.0,-1
2005-04-13,1.2913,1.2955,1.285,1.2879,-1.0,-1.0,-1
2005-04-14,1.288,1.2888,1.2767,1.2799,-1.0,-1.0,-1
2005-04-15,1.2798,1.294,1.2779,1.2925,-1.0,-1.0,-1
2005-04-17,1.2917,1.2926,1.2877,1.2882,-1.0,-1.0,-1
2005-04-18,1.2881,1.30445,1.2881,1.3016,-1.0,-1.0,-1
2005-04-19,1.3015,1.3082,1.2982,1.3071,-1.0,-1.0,-1
2005-04-20,1.3069,1.3111,1.29925,1.31,-1.0,-1.0,-1
2005-04-21,1.3101,1.3125,1.3022,1.3036,-1.0,-1.0,-1
2005-04-22,1.3035,1.3094,1.3032,1.3065,-1.0,-1.0,-1
2005-04-24,1.3059,1.306,1.3002,1.3019,-1.0,-1.0,-1
2005-04-25,1.3018,1.3045,1.2955,1.3001,-1.0,-1.0,-1
2005-04-26,1.3002,1.3015,1.29455,1.2973,-1.0,-1.0,-1
2005-04-27,1.2974,1.2989,1.29055,1.2927,-1.0,-1.0,-1
2005-04-28,1.2926,1.29435,1.2882,1.2918,-1.0,-1.0,-1
2005-04-29,1.2918,1.298,1.2854,1.287,-1.0,-1.0,-1
2005-05-01,1.2861,1.2867,1.284,1.2857,-1.0,-1.0,-1
2005-05-02,1.2856,1.2874,1.2832,1.2834,-1.0,-1.0,-1
2005-05-03,1.2835,1.2965,1.283,1.2953,-1.0,-1.0,-1
2005-05-04,1.2952,1.2974,1.2917,1.2938,-1.0,-1.0,-1
2005-05-05,1.2937,1.2989,1.2926,1.2942,-1.0,-1.0,-1
2005-05-06,1.2943,1.2964,1.281,1.2819,-1.0,-1.0,-1
2005-05-08,1.2816,1.2828,1.2793,1.2803,-1.0,-1.0,-1
2005-05-09,1.2804,1.2863,1.279,1.2851,-1.0,-1.0,-1
2005-05-10,1.2852,1.2895,1.2816,1.2871,-1.0,-1.0,-1
2005-05-11,1.287,1.2913,1.27775,1.2798,-1.0,-1.0,-1
2005-05-12,1.2797,1.2808,1.2672,1.2676,-1.0,-1.0,-1
2005-05-13,1.26755,1.2688,1.261,1.2633,-1.0,-1.0,-1
2005-05-15,1.2636,1.26375,1.2502,1.26055,-1.0,-1.0,-1
2005-05-16,1.2606,1.26505,1.25815,1.2633,-1.0,-1.0,-1
2005-05-17,1.2632,1.2664,1.2586,1.2608,-1.0,-1.0,-1
2005-05-18,1.2609,1.2691,1.2603,1.2681,-1.0,-1.0,-1
2005-05-19,1.2682,1.2686,1.2605,1.2646,-1.0,-1.0,-1
2005-05-20,1.2646,1.2654,1.2536,1.25585,-1.0,-1.0,-1
2005-05-22,1.2542,1.25655,1.24895,1.2564,-1.0,-1.0,-1
2005-05-23,1.2565,1.2598,1.25355,1.2566,-1.0,-1.0,-1
2005-05-24,1.2567,1.26285,1.256,1.2592,-1.0,-1.0,-1
2005-05-25,1.2593,1.2619,1.2552,1.2599,-1.0,-1.0,-1
2005-05-26,1.26,1.2604,1.2496,1.2518,-1.0,-1.0,-1
2005-05-27,1.2519,1.2589,1.2515,1.2585,-1.0,-1.0,-1
2005-05-29,1.2536,1.2546,1.2511,1.2539,-1.0,-1.0,-1
2005-05-30,1.254,1.2544,1.237,1.24,-1.0,-1.0,-1
2005-05-31,1.2399,1.2411,1.2296,1.2321,-1.0,-1.0,-1
2005-06-01,1.232,1.2341,1.2159,1.22225,-1.0,-1.0,-1
2005-06-02,1.22215,1.22975,1.2182,1.2287,-1.0,-1.0,-1
2005-06-03,1.2288,1.2343,1.2205,1.22345,-1.0,-1.0,-1
2005-06-05,1.2227,1.2259,1.222,1.2252,-1.0,-1.0,-1
2005-06-06,1.2253,1.2294,1.2232,1.226,-1.0,-1.0,-1
2005-06-07,1.2261,1.2315,1.22515,1.2307,-1.0,-1.0,-1
2005-06-08,1.2308,1.23535,1.2206,1.2236,-1.0,-1.0,-1
2005-06-09,1.2235,1.2257,1.2176,1.2233,-1.0,-1.0,-1
2005-06-10,1.2232,1.2245,1.2108,1.2119,-1.0,-1.0,-1
2005-06-12,1.2111,1.2121,1.2066,1.2108,-1.0,-1.0,-1
