time,price,size
2022-12-28 08:00:00+00:00,33334.48,0.0
2022-12-28 08:00:00+00:00,33334.96,0.0
2022-12-28 08:00:01+00:00,33331.46,0.0
2022-12-28 08:00:01+00:00,33329.96,0.0
2022-12-28 08:00:02+00:00,33330.46,0.0
2022-12-28 08:00:02+00:00,33327.96,0.0
2022-12-28 08:00:03+00:00,33330.46,0.0
2022-12-28 08:00:03+00:00,33327.46,0.0
2022-12-28 08:00:04+00:00,33328.46,0.0
2022-12-28 08:00:04+00:00,33331.46,0.0
2022-12-28 08:00:05+00:00,33330.96,0.0
2022-12-28 08:00:05+00:00,33331.96,0.0
2022-12-28 08:00:06+00:00,33332.46,0.0
2022-12-28 08:00:06+00:00,33333.96,0.0
2022-12-28 08:00:07+00:00,33332.96,0.0
2022-12-28 08:00:07+00:00,33333.46,0.0
2022-12-28 08:00:09+00:00,33334.46,0.0
2022-12-28 08:00:09+00:00,33334.96,0.0
2022-12-28 08:00:10+00:00,33335.46,0.0
2022-12-28 08:00:11+00:00,33331.96,0.0
2022-12-28 08:00:12+00:00,33332.46,0.0
2022-12-28 08:00:12+00:00,33333.96,0.0
2022-12-28 08:00:13+00:00,33334.96,0.0
2022-12-28 08:00:13+00:00,33335.46,0.0
2022-12-28 08:00:14+00:00,33336.46,0.0
2022-12-28 08:00:14+00:00,33335.96,0.0
2022-12-28 08:00:15+00:00,33336.46,0.0
2022-12-28 08:00:16+00:00,33336.96,0.0
2022-12-28 08:00:16+00:00,33336.46,0.0
2022-12-28 08:00:17+00:00,33335.96,0.0
2022-12-28 08:00:17+00:00,33334.96,0.0
2022-12-28 08:00:18+00:00,33335.46,0.0
2022-12-28 08:00:19+00:00,33335.95,0.0
2022-12-28 08:00:20+00:00,33336.45,0.0
2022-12-28 08:00:20+00:00,33337.95,0.0
2022-12-28 08:00:21+00:00,33338.95,0.0
2022-12-28 08:00:21+00:00,33340.95,0.0
2022-12-28 08:00:22+00:00,33341.95,0.0
2022-12-28 08:00:22+00:00,33340.95,0.0
2022-12-28 08:00:23+00:00,33341.95,0.0
2022-12-28 08:00:23+00:00,33341.45,0.0
2022-12-28 08:00:24+00:00,33340.95,0.0
2022-12-28 08:00:24+00:00,33338.45,0.0
2022-12-28 08:00:25+00:00,33338.95,0.0
2022-12-28 08:00:25+00:00,33339.45,0.0
2022-12-28 08:00:26+00:00,33339.95,0.0
2022-12-28 08:00:27+00:00,33338.95,0.0
2022-12-28 08:00:27+00:00,33340.95,0.0
2022-12-28 08:00:28+00:00,33340.45,0.0
2022-12-28 08:00:28+00:00,33340.95,0.0
2022-12-28 08:00:29+00:00,33341.95,0.0
2022-12-28 08:00:30+00:00,33340.95,0.0
2022-12-28 08:00:30+00:00,33341.95,0.0
2022-12-28 08:00:31+00:00,33340.95,0.0
2022-12-28 08:00:31+00:00,33341.45,0.0
2022-12-28 08:00:32+00:00,33339.95,0.0
2022-12-28 08:00:32+00:00,33340.45,0.0
2022-12-28 08:00:33+00:00,33339.95,0.0
2022-12-28 08:00:33+00:00,33339.45,0.0
2022-12-28 08:00:34+00:00,33339.95,0.0
2022-12-28 08:00:35+00:00,33338.95,0.0
2022-12-28 08:00:36+00:00,33339.45,0.0
2022-12-28 08:00:36+00:00,33339.95,0.0
2022-12-28 08:00:37+00:00,33342.45,0.0
2022-12-28 08:00:37+00:00,33341.95,0.0
2022-12-28 08:00:38+00:00,33342.45,0.0
2022-12-28 08:00:38+00:00,33341.95,0.0
2022-12-28 08:00:39+00:00,33342.45,0.0
2022-12-28 08:00:39+00:00,33343.38,0.0
2022-12-28 08:00:40+00:00,33342.88,0.0
2022-12-28 08:00:40+00:00,33344.38,0.0
2022-12-28 08:00:41+00:00,33343.88,0.0
2022-12-28 08:00:41+00:00,33342.88,0.0
2022-12-28 08:00:42+00:00,33341.88,0.0
2022-12-28 08:00:45+00:00,33340.88,0.0
2022-12-28 08:00:46+00:00,33339.88,0.0
2022-12-28 08:00:46+00:00,33338.88,0.0
2022-12-28 08:00:47+00:00,33336.38,0.0
2022-12-28 08:00:48+00:00,33337.88,0.0
2022-12-28 08:00:48+00:00,33336.88,0.0
2022-12-28 08:00:49+00:00,33337.38,0.0
2022-12-28 08:00:49+00:00,33336.38,0.0
2022-12-28 08:00:50+00:00,33336.88,0.0
2022-12-28 08:00:51+00:00,33337.38,0.0
2022-12-28 08:00:52+00:00,33336.88,0.0
2022-12-28 08:00:54+00:00,33337.88,0.0
2022-12-28 08:00:54+00:00,33336.88,0.0
2022-12-28 08:00:55+00:00,33337.38,0.0
2022-12-28 08:00:55+00:00,33336.88,0.0
2022-12-28 08:00:58+00:00,33337.38,0.0
2022-12-28 08:00:58+00:00,33336.88,0.0
2022-12-28 08:00:59+00:00,33335.95,0.0
2022-12-28 08:00:59+00:00,33335.45,0.0
2022-12-28 08:01:00+00:00,33333.45,0.0
2022-12-28 08:01:01+00:00,33333.95,0.0
