time,price,size
2022-12-28 00:00:14+00:00,1.06369,0.0
2022-12-28 00:00:14+00:00,1.063685,0.0
2022-12-28 00:00:14+00:00,1.06368,0.0
2022-12-28 00:00:14+00:00,1.063675,0.0
2022-12-28 00:00:16+00:00,1.06367,0.0
2022-12-28 00:00:18+00:00,1.063665,0.0
2022-12-28 00:00:18+00:00,1.06367,0.0
2022-12-28 00:00:18+00:00,1.063675,0.0
2022-12-28 00:00:18+00:00,1.06368,0.0
2022-12-28 00:00:18+00:00,1.063685,0.0
2022-12-28 00:00:18+00:00,1.06369,0.0
2022-12-28 00:00:18+00:00,1.063695,0.0
2022-12-28 00:00:18+00:00,1.0637,0.0
2022-12-28 00:00:18+00:00,1.063695,0.0
2022-12-28 00:00:18+00:00,1.0637,0.0
2022-12-28 00:00:18+00:00,1.063705,0.0
2022-12-28 00:00:18+00:00,1.063715,0.0
2022-12-28 00:00:18+00:00,1.06372,0.0
2022-12-28 00:00:18+00:00,1.063725,0.0
2022-12-28 00:00:18+00:00,1.063715,0.0
2022-12-28 00:00:18+00:00,1.06372,0.0
2022-12-28 00:00:18+00:00,1.06374,0.0
2022-12-28 00:00:18+00:00,1.063745,0.0
2022-12-28 00:00:18+00:00,1.063735,0.0
2022-12-28 00:00:18+00:00,1.06373,0.0
2022-12-28 00:00:19+00:00,1.063725,0.0
2022-12-28 00:00:19+00:00,1.06372,0.0
2022-12-28 00:00:19+00:00,1.063715,0.0
2022-12-28 00:00:19+00:00,1.06371,0.0
2022-12-28 00:00:20+00:00,1.063715,0.0
2022-12-28 00:00:22+00:00,1.06371,0.0
2022-12-28 00:00:22+00:00,1.063715,0.0
2022-12-28 00:00:22+00:00,1.06371,0.0
2022-12-28 00:00:22+00:00,1.0637,0.0
2022-12-28 00:00:23+00:00,1.063715,0.0
2022-12-28 00:00:23+00:00,1.06372,0.0
2022-12-28 00:00:23+00:00,1.063725,0.0
2022-12-28 00:00:23+00:00,1.06373,0.0
2022-12-28 00:00:23+00:00,1.063725,0.0
2022-12-28 00:00:23+00:00,1.06372,0.0
2022-12-28 00:00:23+00:00,1.063725,0.0
2022-12-28 00:00:23+00:00,1.06373,0.0
2022-12-28 00:00:23+00:00,1.063735,0.0
2022-12-28 00:00:23+00:00,1.06373,0.0
2022-12-28 00:00:23+00:00,1.063735,0.0
2022-12-28 00:00:23+00:00,1.06374,0.0
2022-12-28 00:00:23+00:00,1.063745,0.0
2022-12-28 00:00:23+00:00,1.06375,0.0
2022-12-28 00:00:23+00:00,1.06376,0.0
2022-12-28 00:00:23+00:00,1.063765,0.0
2022-12-28 00:00:23+00:00,1.06376,0.0
2022-12-28 00:00:23+00:00,1.063765,0.0
2022-12-28 00:00:24+00:00,1.06377,0.0
2022-12-28 00:00:24+00:00,1.063775,0.0
2022-12-28 00:00:24+00:00,1.06378,0.0
2022-12-28 00:00:24+00:00,1.063775,0.0
2022-12-28 00:00:24+00:00,1.06378,0.0
2022-12-28 00:00:24+00:00,1.063785,0.0
2022-12-28 00:00:28+00:00,1.06379,0.0
2022-12-28 00:00:28+00:00,1.063795,0.0
2022-12-28 00:00:28+00:00,1.0638,0.0
2022-12-28 00:00:28+00:00,1.063805,0.0
2022-12-28 00:00:28+00:00,1.06381,0.0
2022-12-28 00:00:28+00:00,1.063815,0.0
2022-12-28 00:00:28+00:00,1.06382,0.0
2022-12-28 00:00:28+00:00,1.063815,0.0
2022-12-28 00:00:28+00:00,1.06382,0.0
2022-12-28 00:00:28+00:00,1.063815,0.0
2022-12-28 00:00:28+00:00,1.06381,0.0
2022-12-28 00:00:28+00:00,1.06382,0.0
2022-12-28 00:00:28+00:00,1.06381,0.0
2022-12-28 00:00:29+00:00,1.063815,0.0
2022-12-28 00:00:29+00:00,1.06381,0.0
2022-12-28 00:00:30+00:00,1.063815,0.0
2022-12-28 00:00:30+00:00,1.06381,0.0
2022-12-28 00:00:30+00:00,1.063815,0.0
2022-12-28 00:00:30+00:00,1.06381,0.0
2022-12-28 00:00:31+00:00,1.063805,0.0
2022-12-28 00:00:31+00:00,1.06381,0.0
2022-12-28 00:00:31+00:00,1.063815,0.0
2022-12-28 00:00:31+00:00,1.06381,0.0
2022-12-28 00:00:31+00:00,1.063815,0.0
2022-12-28 00:00:32+00:00,1.06381,0.0
2022-12-28 00:00:32+00:00,1.063805,0.0
2022-12-28 00:00:32+00:00,1.06381,0.0
2022-12-28 00:00:32+00:00,1.063815,0.0
2022-12-28 00:00:33+00:00,1.06382,0.0
2022-12-28 00:00:33+00:00,1.063825,0.0
2022-12-28 00:00:33+00:00,1.06383,0.0
2022-12-28 00:00:33+00:00,1.063835,0.0
2022-12-28 00:00:33+00:00,1.06384,0.0
2022-12-28 00:00:33+00:00,1.063835,0.0
2022-12-28 00:00:33+00:00,1.06383,0.0
2022-12-28 00:00:36+00:00,1.063825,0.0
2022-12-28 00:00:36+00:00,1.06382,0.0
2022-12-28 00:00:36+00:00,1.063815,0.0
2022-12-28 00:00:36+00:00,1.06381,0.0
2022-12-28 00:00:36+00:00,1.06382,0.0
2022-12-28 00:00:36+00:00,1.063815,0.0
2022-12-28 00:00:36+00:00,1.06382,0.0
2022-12-28 00:00:36+00:00,1.063825,0.0
